name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Washington ,2022-01-01,17.5,12.3,14.6,17.5,12.3,14.6,13.3,92.1,11.4,100,37.5,rain,0,0,,18.4,190.4,1007.2,99.5,10,9,0.6,0,,2022-01-01T07:26:53,2022-01-01T16:56:53,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,72033493764,74594013705"
Washington ,2022-01-02,17.1,8.8,14.2,17.1,5.5,13.9,10.9,81.6,3.132,100,29.17,rain,0,0,58.9,30.4,290.6,1006.6,91.6,15.5,19.8,1.7,1,,2022-01-02T07:27:00,2022-01-02T16:57:43,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
Washington ,2022-01-03,7.8,-3.3,0.4,4.1,-9.9,-5,-3,78.7,22.563,100,75,"rain,snow",6.8,2.7,56.2,36.2,358.5,1019.7,77.2,10,11,0.7,1,,2022-01-03T07:27:05,2022-01-03T16:58:34,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,72033493764,74594013705"
Washington ,2022-01-04,1.1,-3.7,-1.5,0.9,-8.9,-4.4,-7.1,65.7,0,0,0,,3.5,8.9,31.7,22.7,192.1,1029.7,18.7,16,64.6,5.5,6,,2022-01-04T07:27:07,2022-01-04T16:59:27,0.06,Clear,Clear conditions throughout the day.,snow,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,74594013705"
Washington ,2022-01-05,4.9,-2.2,2.1,2.9,-6.8,-1.4,-1.7,76.3,0.011,100,4.17,rain,0,6.5,,21.9,195.2,1014.5,82.6,16,26.9,2.2,1,,2022-01-05T07:27:08,2022-01-05T17:00:21,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
Washington ,2022-01-06,6,2.7,4.3,4.8,-1.4,1.8,-4.3,55,0,0,0,,0.5,4.7,31.7,20.8,15.8,1012.7,88,16,61.4,5.4,4,,2022-01-06T07:27:06,2022-01-06T17:01:16,0.13,Partially cloudy,Partly cloudy throughout the day.,snow,"KIAD,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
Washington ,2022-01-07,2.1,-3.9,-1.2,-3.1,-8.5,-6.7,-9.3,56.2,3.035,100,25,"rain,snow",0.6,5.3,51.8,34.3,313.3,1018.6,58.4,13.6,75.9,6.8,5,,2022-01-07T07:27:02,2022-01-07T17:02:12,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
Washington ,2022-01-08,0.6,-5.1,-2.5,-1.2,-10.6,-6.5,-11.8,49.4,0,0,0,,0,3.6,,21.4,250.4,1035.6,20.5,16,83.3,7.2,5,,2022-01-08T07:26:56,2022-01-08T17:03:09,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
Washington ,2022-01-09,8.1,-0.9,3.2,6.2,-6,-0.7,-1.6,71.6,13.761,100,45.83,rain,0,1.9,50,24.7,199.8,1024.1,90,13.6,12.9,1.1,1,,2022-01-09T07:26:48,2022-01-09T17:04:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
Washington ,2022-01-10,6.7,-1.7,1.6,2.4,-8.3,-3.6,-9.8,43.1,0.138,100,4.17,"rain,snow",0,0.4,56.1,33.7,315.6,1023.8,58.5,16,71.5,6.9,5,10,2022-01-10T07:26:38,2022-01-10T17:05:07,0.26,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
